trade_code,industry
000001.SZ,银行
000002.SZ,房地产
000004.SZ,医药生物
000005.SZ,房地产
000006.SZ,房地产
000007.SZ,休闲服务
000008.SZ,休闲服务
000009.SZ,综合
000010.SZ,综合
000011.SZ,房地产
000012.SZ,建筑材料
000014.SZ,房地产
000016.SZ,家用电器
000017.SZ,汽车
000018.SZ,综合
000019.SZ,食品饮料
000020.SZ,电子
000021.SZ,计算机
000022.SZ,交通运输
000023.SZ,建筑材料
000024.SZ,房地产
000025.SZ,汽车
000026.SZ,轻工制造
000027.SZ,公用事业
000028.SZ,医药生物
000029.SZ,房地产
000030.SZ,汽车
000031.SZ,房地产
000032.SZ,通信
000033.SZ,休闲服务
000034.SZ,通信
000035.SZ,公用事业
000036.SZ,房地产
000037.SZ,公用事业
000038.SZ,房地产
000039.SZ,机械设备
000040.SZ,房地产
000042.SZ,房地产
000043.SZ,房地产
000045.SZ,电子
000046.SZ,房地产
000048.SZ,农林牧渔
000049.SZ,电子
000050.SZ,电子
000055.SZ,建筑装饰
000056.SZ,房地产
000058.SZ,商业贸易
000059.SZ,化工
000060.SZ,有色金属
000061.SZ,商业贸易
000062.SZ,商业贸易
000063.SZ,通信
000065.SZ,建筑装饰
000066.SZ,计算机
000068.SZ,综合
000069.SZ,房地产
000070.SZ,通信
000078.SZ,医药生物
000088.SZ,交通运输
000089.SZ,交通运输
000090.SZ,房地产
000096.SZ,化工
000099.SZ,交通运输
000100.SZ,家用电器
000150.SZ,房地产
000151.SZ,商业贸易
000153.SZ,医药生物
000155.SZ,化工
000156.SZ,传媒
000157.SZ,机械设备
000158.SZ,纺织服装
000159.SZ,采掘
000166.SZ,非银金融
000301.SZ,商业贸易
000333.SZ,家用电器
000338.SZ,汽车
000400.SZ,电气设备
000401.SZ,建筑材料
000402.SZ,房地产
000403.SZ,医药生物
000404.SZ,家用电器
000407.SZ,化工
000408.SZ,商业贸易
000409.SZ,采掘
000410.SZ,机械设备
000411.SZ,医药生物
000413.SZ,电子
000415.SZ,非银金融
000416.SZ,商业贸易
000417.SZ,商业贸易
000418.SZ,家用电器
000419.SZ,商业贸易
000420.SZ,化工
000421.SZ,综合
000422.SZ,化工
000423.SZ,医药生物
000425.SZ,机械设备
000426.SZ,有色金属
000428.SZ,休闲服务
000429.SZ,交通运输
000430.SZ,休闲服务
000488.SZ,轻工制造
000498.SZ,建筑装饰
000501.SZ,商业贸易
000502.SZ,房地产
000503.SZ,传媒
000504.SZ,传媒
000505.SZ,房地产
000506.SZ,房地产
000507.SZ,交通运输
000509.SZ,建筑材料
000510.SZ,化工
000511.SZ,有色金属
000513.SZ,医药生物
000514.SZ,房地产
000516.SZ,商业贸易
000517.SZ,房地产
000518.SZ,医药生物
000519.SZ,机械设备
000520.SZ,交通运输
000521.SZ,家用电器
000523.SZ,化工
000524.SZ,休闲服务
000525.SZ,化工
000526.SZ,房地产
000528.SZ,机械设备
000529.SZ,综合
000530.SZ,机械设备
000531.SZ,公用事业
000532.SZ,电子
000533.SZ,家用电器
000534.SZ,房地产
000536.SZ,电子
000537.SZ,房地产
000538.SZ,医药生物
000539.SZ,公用事业
000540.SZ,房地产
000541.SZ,电子
000543.SZ,公用事业
000544.SZ,公用事业
000545.SZ,化工
000546.SZ,综合
000547.SZ,通信
000548.SZ,交通运输
000550.SZ,汽车
000551.SZ,综合
000552.SZ,采掘
000553.SZ,化工
000554.SZ,化工
000555.SZ,计算机
000557.SZ,食品饮料
000558.SZ,房地产
000559.SZ,汽车
000560.SZ,商业贸易
000561.SZ,通信
000563.SZ,非银金融
000564.SZ,商业贸易
000565.SZ,化工
000566.SZ,医药生物
000567.SZ,房地产
000568.SZ,食品饮料
000570.SZ,机械设备
000571.SZ,采掘
000572.SZ,汽车
000573.SZ,房地产
000576.SZ,轻工制造
000581.SZ,汽车
000582.SZ,交通运输
000584.SZ,化工
000585.SZ,电气设备
000586.SZ,通信
000587.SZ,轻工制造
000589.SZ,化工
000590.SZ,医药生物
000591.SZ,医药生物
000592.SZ,农林牧渔
000593.SZ,综合
000594.SZ,交通运输
000595.SZ,机械设备
000596.SZ,食品饮料
000597.SZ,医药生物
000598.SZ,公用事业
000599.SZ,化工
000600.SZ,公用事业
000601.SZ,公用事业
000603.SZ,有色金属
000605.SZ,医药生物
000606.SZ,医药生物
000607.SZ,机械设备
000608.SZ,房地产
000609.SZ,房地产
000610.SZ,休闲服务
000611.SZ,商业贸易
000612.SZ,有色金属
000613.SZ,休闲服务
000615.SZ,化工
000616.SZ,房地产
000617.SZ,机械设备
000619.SZ,建筑材料
000620.SZ,房地产
000622.SZ,汽车
000623.SZ,医药生物
000625.SZ,汽车
000626.SZ,商业贸易
000627.SZ,化工
000628.SZ,综合
000629.SZ,采掘
000630.SZ,有色金属
000631.SZ,房地产
000632.SZ,综合
000633.SZ,机械设备
000635.SZ,化工
000636.SZ,电子
000637.SZ,化工
000638.SZ,房地产
000639.SZ,农林牧渔
000650.SZ,医药生物
000651.SZ,家用电器
000652.SZ,综合
000655.SZ,采掘
000656.SZ,房地产
000657.SZ,有色金属
000659.SZ,轻工制造
000661.SZ,医药生物
000662.SZ,化工
000663.SZ,农林牧渔
000665.SZ,传媒
000666.SZ,非银金融
000667.SZ,房地产
000668.SZ,房地产
000669.SZ,公用事业
000670.SZ,房地产
000671.SZ,房地产
000672.SZ,建筑材料
000673.SZ,传媒
000676.SZ,机械设备
000677.SZ,化工
000678.SZ,汽车
000679.SZ,商业贸易
000680.SZ,机械设备
000681.SZ,传媒
000682.SZ,电气设备
000683.SZ,采掘
000685.SZ,公用事业
000686.SZ,非银金融
000687.SZ,化工
000688.SZ,有色金属
000690.SZ,公用事业
000691.SZ,房地产
000692.SZ,公用事业
000693.SZ,有色金属
000695.SZ,公用事业
000697.SZ,有色金属
000698.SZ,化工
000700.SZ,汽车
000701.SZ,综合
000702.SZ,农林牧渔
000703.SZ,化工
000705.SZ,医药生物
000707.SZ,化工
000708.SZ,钢铁
000709.SZ,钢铁
000710.SZ,汽车
000711.SZ,综合
000712.SZ,公用事业
000713.SZ,农林牧渔
000715.SZ,商业贸易
000716.SZ,食品饮料
000717.SZ,钢铁
000718.SZ,房地产
000719.SZ,传媒
000720.SZ,公用事业
000721.SZ,休闲服务
000722.SZ,公用事业
000723.SZ,采掘
000725.SZ,电子
000726.SZ,纺织服装
000727.SZ,电子
000728.SZ,非银金融
000729.SZ,食品饮料
000731.SZ,化工
000732.SZ,房地产
000733.SZ,电子
000735.SZ,农林牧渔
000736.SZ,房地产
000737.SZ,化工
000738.SZ,国防军工
000739.SZ,医药生物
000748.SZ,计算机
000750.SZ,非银金融
000751.SZ,有色金属
000752.SZ,食品饮料
000753.SZ,商业贸易
000755.SZ,化工
000756.SZ,医药生物
000757.SZ,汽车
000758.SZ,有色金属
000759.SZ,商业贸易
000760.SZ,汽车
000761.SZ,钢铁
000762.SZ,采掘
000766.SZ,医药生物
000767.SZ,公用事业
000768.SZ,国防军工
000776.SZ,非银金融
000777.SZ,机械设备
000778.SZ,钢铁
000779.SZ,纺织服装
000780.SZ,采掘
000782.SZ,化工
000783.SZ,非银金融
000785.SZ,商业贸易
000786.SZ,建筑材料
000788.SZ,医药生物
000789.SZ,建筑材料
000790.SZ,医药生物
000791.SZ,公用事业
000792.SZ,化工
000793.SZ,传媒
000795.SZ,有色金属
000796.SZ,食品饮料
000797.SZ,房地产
000798.SZ,农林牧渔
000799.SZ,食品饮料
000800.SZ,汽车
000801.SZ,国防军工
000802.SZ,休闲服务
000803.SZ,房地产
000806.SZ,电气设备
000807.SZ,有色金属
000809.SZ,房地产
000810.SZ,纺织服装
000811.SZ,机械设备
000812.SZ,轻工制造
000813.SZ,综合
000815.SZ,轻工制造
000816.SZ,机械设备
000818.SZ,化工
000819.SZ,化工
000820.SZ,轻工制造
000821.SZ,机械设备
000822.SZ,化工
000823.SZ,电子
000825.SZ,钢铁
000826.SZ,公用事业
000828.SZ,交通运输
000829.SZ,商业贸易
000830.SZ,化工
000831.SZ,有色金属
000833.SZ,轻工制造
000835.SZ,采掘
000836.SZ,通信
000837.SZ,机械设备
000838.SZ,房地产
000839.SZ,综合
000848.SZ,食品饮料
000850.SZ,纺织服装
000851.SZ,通信
000852.SZ,机械设备
000856.SZ,机械设备
000858.SZ,食品饮料
000859.SZ,化工
000860.SZ,农林牧渔
000861.SZ,商业贸易
000862.SZ,电气设备
000863.SZ,房地产
000868.SZ,汽车
000869.SZ,食品饮料
000875.SZ,公用事业
000876.SZ,农林牧渔
000877.SZ,建筑材料
000878.SZ,有色金属
000880.SZ,机械设备
000881.SZ,综合
000882.SZ,商业贸易
000883.SZ,公用事业
000885.SZ,建筑材料
000886.SZ,房地产
000887.SZ,汽车
000888.SZ,休闲服务
000889.SZ,商业贸易
000890.SZ,机械设备
000892.SZ,综合
000893.SZ,农林牧渔
000895.SZ,食品饮料
000897.SZ,房地产
000898.SZ,钢铁
000899.SZ,公用事业
000900.SZ,交通运输
000901.SZ,机械设备
000902.SZ,纺织服装
000903.SZ,汽车
000905.SZ,交通运输
000906.SZ,钢铁
000908.SZ,机械设备
000909.SZ,房地产
000910.SZ,轻工制造
000911.SZ,农林牧渔
000912.SZ,化工
000913.SZ,汽车
000915.SZ,医药生物
000916.SZ,交通运输
000917.SZ,传媒
000918.SZ,房地产
000919.SZ,医药生物
000920.SZ,机械设备
000921.SZ,家用电器
000922.SZ,电气设备
000923.SZ,机械设备
000925.SZ,公用事业
000926.SZ,房地产
000927.SZ,汽车
000928.SZ,有色金属
000929.SZ,食品饮料
000930.SZ,农林牧渔
000931.SZ,房地产
000932.SZ,钢铁
000933.SZ,采掘
000935.SZ,建筑材料
000936.SZ,化工
000937.SZ,采掘
000938.SZ,计算机
000939.SZ,公用事业
000948.SZ,计算机
000949.SZ,化工
000950.SZ,化工
000951.SZ,汽车
000952.SZ,医药生物
000953.SZ,化工
000955.SZ,纺织服装
000957.SZ,汽车
000958.SZ,公用事业
000959.SZ,钢铁
000960.SZ,有色金属
000961.SZ,房地产
000962.SZ,有色金属
000963.SZ,医药生物
000965.SZ,房地产
000966.SZ,公用事业
000967.SZ,电气设备
000968.SZ,采掘
000969.SZ,有色金属
000970.SZ,有色金属
000971.SZ,纺织服装
000972.SZ,农林牧渔
000973.SZ,化工
000975.SZ,有色金属
000976.SZ,化工
000977.SZ,计算机
000978.SZ,休闲服务
000979.SZ,房地产
000980.SZ,汽车
000981.SZ,房地产
000982.SZ,纺织服装
000983.SZ,采掘
000985.SZ,化工
000987.SZ,商业贸易
000988.SZ,电子
000989.SZ,医药生物
000990.SZ,医药生物
000993.SZ,公用事业
000995.SZ,食品饮料
000996.SZ,非银金融
000997.SZ,计算机
000998.SZ,农林牧渔
000999.SZ,医药生物
001696.SZ,汽车
001896.SZ,公用事业
002001.SZ,医药生物
002002.SZ,化工
002003.SZ,纺织服装
002004.SZ,化工
002005.SZ,电子
002006.SZ,机械设备
002007.SZ,医药生物
002008.SZ,电子
002009.SZ,机械设备
002010.SZ,化工
002011.SZ,家用电器
002012.SZ,轻工制造
002013.SZ,国防军工
002014.SZ,轻工制造
002015.SZ,化工
002016.SZ,房地产
002017.SZ,通信
002018.SZ,化工
002019.SZ,医药生物
002020.SZ,医药生物
002021.SZ,机械设备
002022.SZ,医药生物
002023.SZ,国防军工
002024.SZ,商业贸易
002025.SZ,电子
002026.SZ,机械设备
002027.SZ,计算机
002028.SZ,电气设备
002029.SZ,纺织服装
002030.SZ,医药生物
002031.SZ,机械设备
002032.SZ,家用电器
002033.SZ,休闲服务
002034.SZ,纺织服装
002035.SZ,家用电器
002036.SZ,纺织服装
002037.SZ,化工
002038.SZ,医药生物
002039.SZ,公用事业
002040.SZ,交通运输
002041.SZ,农林牧渔
002042.SZ,纺织服装
002043.SZ,建筑材料
002044.SZ,纺织服装
002045.SZ,电子
002046.SZ,机械设备
002047.SZ,建筑装饰
002048.SZ,汽车
002049.SZ,电子
002050.SZ,家用电器
002051.SZ,建筑装饰
002052.SZ,家用电器
002053.SZ,化工
002054.SZ,化工
002055.SZ,电子
002056.SZ,电子
002057.SZ,有色金属
002058.SZ,电气设备
002059.SZ,休闲服务
002060.SZ,建筑装饰
002061.SZ,化工
002062.SZ,建筑装饰
002063.SZ,计算机
002064.SZ,化工
002065.SZ,计算机
002066.SZ,建筑材料
002067.SZ,轻工制造
002068.SZ,化工
002069.SZ,农林牧渔
002070.SZ,纺织服装
002071.SZ,轻工制造
002072.SZ,纺织服装
002073.SZ,机械设备
002074.SZ,电气设备
002075.SZ,钢铁
002076.SZ,电子
002077.SZ,房地产
002078.SZ,轻工制造
002079.SZ,电子
002080.SZ,化工
002081.SZ,建筑装饰
002082.SZ,建筑材料
002083.SZ,纺织服装
002084.SZ,轻工制造
002085.SZ,汽车
002086.SZ,农林牧渔
002087.SZ,纺织服装
002088.SZ,建筑材料
002089.SZ,通信
002090.SZ,电气设备
002091.SZ,商业贸易
002092.SZ,化工
002093.SZ,通信
002094.SZ,轻工制造
002095.SZ,传媒
002096.SZ,化工
002097.SZ,机械设备
002098.SZ,纺织服装
002099.SZ,医药生物
002100.SZ,农林牧渔
002101.SZ,汽车
002102.SZ,商业贸易
002103.SZ,轻工制造
002104.SZ,通信
002105.SZ,汽车
002106.SZ,电子
002107.SZ,医药生物
002108.SZ,化工
002109.SZ,化工
002110.SZ,钢铁
002111.SZ,机械设备
002112.SZ,电气设备
002113.SZ,综合
002114.SZ,有色金属
002115.SZ,通信
002116.SZ,建筑装饰
002117.SZ,轻工制造
002118.SZ,医药生物
002119.SZ,电子
002120.SZ,轻工制造
002121.SZ,电气设备
002122.SZ,机械设备
002123.SZ,电气设备
002124.SZ,农林牧渔
002125.SZ,化工
002126.SZ,汽车
002127.SZ,化工
002128.SZ,采掘
002129.SZ,电子
002130.SZ,有色金属
002131.SZ,机械设备
002132.SZ,机械设备
002133.SZ,房地产
002134.SZ,电子
002135.SZ,建筑装饰
002136.SZ,化工
002137.SZ,电子
002138.SZ,电子
002139.SZ,电子
002140.SZ,建筑装饰
002141.SZ,电子
002142.SZ,银行
002143.SZ,农林牧渔
002144.SZ,纺织服装
002145.SZ,化工
002146.SZ,房地产
002147.SZ,机械设备
002148.SZ,传媒
002149.SZ,有色金属
002150.SZ,机械设备
002151.SZ,国防军工
002152.SZ,计算机
002153.SZ,计算机
002154.SZ,纺织服装
002155.SZ,有色金属
002156.SZ,电子
002157.SZ,农林牧渔
002158.SZ,机械设备
002159.SZ,休闲服务
002160.SZ,有色金属
002161.SZ,电子
002162.SZ,建筑材料
002163.SZ,建筑材料
002164.SZ,机械设备
002165.SZ,化工
002166.SZ,医药生物
002167.SZ,有色金属
002168.SZ,电气设备
002169.SZ,电气设备
002170.SZ,化工
002171.SZ,有色金属
002172.SZ,化工
002173.SZ,农林牧渔
002174.SZ,传媒
002175.SZ,机械设备
002176.SZ,电气设备
002177.SZ,计算机
002178.SZ,建筑装饰
002179.SZ,电子
002180.SZ,电气设备
002181.SZ,传媒
002182.SZ,有色金属
002183.SZ,交通运输
002184.SZ,电气设备
002185.SZ,电子
002186.SZ,休闲服务
002187.SZ,商业贸易
002188.SZ,电子
002189.SZ,电子
002190.SZ,国防军工
002191.SZ,轻工制造
002192.SZ,化工
002193.SZ,纺织服装
002194.SZ,通信
002195.SZ,计算机
002196.SZ,电气设备
002197.SZ,计算机
002198.SZ,医药生物
002199.SZ,电子
002200.SZ,建筑装饰
002201.SZ,化工
002202.SZ,电气设备
002203.SZ,有色金属
002204.SZ,机械设备
002205.SZ,建筑材料
002206.SZ,化工
002207.SZ,采掘
002208.SZ,房地产
002209.SZ,机械设备
002210.SZ,交通运输
002211.SZ,化工
002212.SZ,电气设备
002213.SZ,汽车
002214.SZ,电子
002215.SZ,化工
002216.SZ,食品饮料
002217.SZ,化工
002218.SZ,电气设备
002219.SZ,医药生物
002220.SZ,农林牧渔
002221.SZ,化工
002222.SZ,电子
002223.SZ,医药生物
002224.SZ,化工
002225.SZ,建筑材料
002226.SZ,化工
002227.SZ,电气设备
002228.SZ,轻工制造
002229.SZ,轻工制造
002230.SZ,计算机
002231.SZ,通信
002232.SZ,计算机
002233.SZ,建筑材料
002234.SZ,农林牧渔
002235.SZ,轻工制造
002236.SZ,计算机
002237.SZ,有色金属
002238.SZ,传媒
002239.SZ,纺织服装
002240.SZ,轻工制造
002241.SZ,电子
002242.SZ,家用电器
002243.SZ,轻工制造
002244.SZ,房地产
002245.SZ,交通运输
002246.SZ,化工
002247.SZ,轻工制造
002248.SZ,机械设备
002249.SZ,电气设备
002250.SZ,化工
002251.SZ,商业贸易
002252.SZ,医药生物
002253.SZ,计算机
002254.SZ,化工
002255.SZ,电气设备
002256.SZ,化工
002258.SZ,化工
002259.SZ,轻工制造
002260.SZ,家用电器
002261.SZ,传媒
002262.SZ,医药生物
002263.SZ,轻工制造
002264.SZ,商业贸易
002265.SZ,汽车
002266.SZ,电气设备
002267.SZ,公用事业
002268.SZ,计算机
002269.SZ,纺织服装
002270.SZ,机械设备
002271.SZ,建筑材料
002272.SZ,机械设备
002273.SZ,电子
002274.SZ,化工
002275.SZ,医药生物
002276.SZ,电气设备
002277.SZ,商业贸易
002278.SZ,机械设备
002279.SZ,计算机
002280.SZ,计算机
002281.SZ,通信
002282.SZ,机械设备
002283.SZ,汽车
002284.SZ,汽车
002285.SZ,房地产
002286.SZ,农林牧渔
002287.SZ,医药生物
002288.SZ,电子
002289.SZ,电子
002290.SZ,家用电器
002291.SZ,纺织服装
002292.SZ,传媒
002293.SZ,纺织服装
002294.SZ,医药生物
002295.SZ,有色金属
002296.SZ,计算机
002297.SZ,国防军工
002298.SZ,电气设备
002299.SZ,农林牧渔
002300.SZ,电气设备
002301.SZ,轻工制造
002302.SZ,建筑材料
002303.SZ,轻工制造
002304.SZ,食品饮料
002305.SZ,房地产
002306.SZ,休闲服务
002307.SZ,建筑装饰
002308.SZ,计算机
002309.SZ,电气设备
002310.SZ,建筑装饰
002311.SZ,农林牧渔
002312.SZ,计算机
002313.SZ,通信
002314.SZ,建筑材料
002315.SZ,传媒
002316.SZ,通信
002317.SZ,医药生物
002318.SZ,钢铁
002319.SZ,化工
002320.SZ,交通运输
002321.SZ,农林牧渔
002322.SZ,电气设备
002323.SZ,电气设备
002324.SZ,化工
002325.SZ,建筑装饰
002326.SZ,化工
002327.SZ,纺织服装
002328.SZ,汽车
002329.SZ,食品饮料
002330.SZ,食品饮料
002331.SZ,计算机
002332.SZ,医药生物
002333.SZ,建筑材料
002334.SZ,电气设备
002335.SZ,电气设备
002336.SZ,商业贸易
002337.SZ,机械设备
002338.SZ,机械设备
002339.SZ,电气设备
002340.SZ,有色金属
002341.SZ,公用事业
002342.SZ,机械设备
002343.SZ,化工
002344.SZ,商业贸易
002345.SZ,轻工制造
002346.SZ,建筑材料
002347.SZ,机械设备
002348.SZ,轻工制造
002349.SZ,医药生物
002350.SZ,电气设备
002351.SZ,电子
002352.SZ,机械设备
002353.SZ,机械设备
002354.SZ,传媒
002355.SZ,汽车
002356.SZ,电气设备
002357.SZ,交通运输
002358.SZ,电气设备
002359.SZ,电气设备
002360.SZ,化工
002361.SZ,化工
002362.SZ,计算机
002363.SZ,汽车
002364.SZ,电气设备
002365.SZ,医药生物
002366.SZ,家用电器
002367.SZ,机械设备
002368.SZ,计算机
002369.SZ,电子
002370.SZ,医药生物
002371.SZ,电子
002372.SZ,建筑材料
002373.SZ,计算机
002374.SZ,轻工制造
002375.SZ,建筑装饰
002376.SZ,计算机
002377.SZ,化工
002378.SZ,有色金属
002379.SZ,有色金属
002380.SZ,计算机
002381.SZ,化工
002382.SZ,化工
002383.SZ,计算机
002384.SZ,电子
002385.SZ,农林牧渔
002386.SZ,化工
002387.SZ,食品饮料
002388.SZ,电子
002389.SZ,电子
002390.SZ,医药生物
002391.SZ,化工
002392.SZ,建筑材料
002393.SZ,医药生物
002394.SZ,纺织服装
002395.SZ,化工
002396.SZ,通信
002397.SZ,纺织服装
002398.SZ,建筑材料
002399.SZ,医药生物
002400.SZ,传媒
002401.SZ,计算机
002402.SZ,电子
002403.SZ,家用电器
002404.SZ,纺织服装
002405.SZ,计算机
002406.SZ,汽车
002407.SZ,化工
002408.SZ,化工
002409.SZ,化工
002410.SZ,计算机
002411.SZ,化工
002412.SZ,医药生物
002413.SZ,家用电器
002414.SZ,电子
002415.SZ,计算机
002416.SZ,商业贸易
002417.SZ,通信
002418.SZ,家用电器
002419.SZ,商业贸易
002420.SZ,家用电器
002421.SZ,计算机
002422.SZ,医药生物
