datetime,trade_code,name,class,reason
2015-03-17,000005.SZ,世纪星源,停牌一天,重大资产重组
2015-03-17,000008.SZ,神州高铁,停牌一天,重大事项
2015-03-17,000010.SZ,深华新,停牌一天,重大事项
2015-03-17,000020.SZ,深华发A,停牌一天,重大事项
2015-03-17,000033.SZ,*ST新都,停牌一天,重大资产重组
2015-03-17,000062.SZ,深圳华强,停牌一天,筹划重大事项
2015-03-17,000068.SZ,华控赛格,停牌一天,重大资产重组
2015-03-17,000069.SZ,华侨城A,停牌一天,重大事项
2015-03-17,000070.SZ,特发信息,停牌一天,重大资产重组
2015-03-17,000403.SZ,ST生化,停牌一天,重大事项
2015-03-17,000407.SZ,胜利股份,停牌一天,重大事项
2015-03-17,000410.SZ,沈阳机床,停牌一天,重大事项
2015-03-17,000411.SZ,英特集团,停牌一天,重大资产重组
2015-03-17,000415.SZ,渤海租赁,停牌一天,重大事项
2015-03-17,000426.SZ,兴业矿业,停牌一天,重大资产重组
2015-03-17,000502.SZ,绿景控股,停牌一天,重大事项
2015-03-17,000510.SZ,金路集团,停牌一天,重大资产重组
2015-03-17,000514.SZ,渝开发,停牌一天,重大资产重组
2015-03-17,000518.SZ,四环生物,停牌一天,重大事项
2015-03-17,000526.SZ,银润投资,停牌一天,重大事项
2015-03-17,000537.SZ,广宇发展,停牌一天,重大事项
2015-03-17,000564.SZ,西安民生,停牌一天,重大事项
2015-03-17,000584.SZ,友利控股,停牌一天,重大资产重组
2015-03-17,000587.SZ,金叶珠宝,停牌一天,重大事项
2015-03-17,000591.SZ,桐君阁,停牌一天,重大资产重组
2015-03-17,000593.SZ,大通燃气,停牌一天,重大资产重组
2015-03-17,000605.SZ,渤海股份,停牌一天,重大事项
2015-03-17,000607.SZ,华媒控股,停牌一天,重大资产重组
2015-03-17,000611.SZ,内蒙发展,停牌一天,重大事项
2015-03-17,000616.SZ,海航投资,停牌一天,预计有重大事项发生
2015-03-17,000625.SZ,长安汽车,停牌一天,重大事项
2015-03-17,000630.SZ,铜陵有色,停牌一天,预计有重大事项发生
2015-03-17,000633.SZ,合金投资,停牌一天,重大事项
2015-03-17,000636.SZ,风华高科,停牌一天,重大资产重组
2015-03-17,000663.SZ,永安林业,停牌一天,重大资产重组
2015-03-17,000676.SZ,智度投资,停牌一天,重大资产重组
2015-03-17,000677.SZ,*ST海龙,停牌一天,退市风险警示
2015-03-17,000687.SZ,恒天天鹅,停牌一天,重大资产重组
2015-03-17,000692.SZ,惠天热电,停牌一天,重大事项
2015-03-17,000693.SZ,华泽钴镍,停牌一天,预计有重大事项发生
2015-03-17,000715.SZ,中兴商业,停牌一天,重大事项
2015-03-17,000719.SZ,大地传媒,停牌一天,重大资产重组
2015-03-17,000721.SZ,西安饮食,停牌一天,重大事项
2015-03-17,000755.SZ,*ST三维,停牌一天,重大事项
2015-03-17,000796.SZ,易食股份,停牌一天,重大资产重组
2015-03-17,000828.SZ,东莞控股,停牌一天,重大事项
2015-03-17,000860.SZ,顺鑫农业,停牌一天,重大事项
2015-03-17,000863.SZ,三湘股份,停牌一天,重大资产重组
2015-03-17,000883.SZ,湖北能源,停牌一天,重大事项
2015-03-17,000887.SZ,中鼎股份,停牌一天,重大事项
2015-03-17,000889.SZ,茂业物流,停牌一天,重大资产重组
2015-03-17,000899.SZ,赣能股份,停牌一天,重大事项
2015-03-17,000931.SZ,中关村,停牌一天,重大事项
2015-03-17,000938.SZ,紫光股份,停牌一天,重大事项
2015-03-17,000967.SZ,上风高科,停牌一天,重大资产重组
2015-03-17,000968.SZ,煤气化,停牌一天,重大资产重组
2015-03-17,000969.SZ,安泰科技,停牌一天,重大事项
2015-03-17,000971.SZ,蓝鼎控股,停牌一天,重大资产重组
2015-03-17,000978.SZ,桂林旅游,停牌一天,预计有重大事项发生
2015-03-17,000979.SZ,中弘股份,停牌一天,重大事项
2015-03-17,000982.SZ,中银绒业,停牌一天,重大事项
2015-03-17,000989.SZ,九芝堂,停牌一天,重大事项
2015-03-17,000990.SZ,诚志股份,停牌一天,重大事项
2015-03-17,000995.SZ,皇台酒业,停牌一天,重大事项
2015-03-17,000996.SZ,中国中期,停牌一天,重大事项
2015-03-17,002006.SZ,精功科技,停牌一天,重大资产重组
2015-03-17,002010.SZ,传化股份,停牌一天,重大资产重组
2015-03-17,002015.SZ,*ST霞客,停牌一天,重大事项
2015-03-17,002021.SZ,中捷资源,停牌一天,筹划重大资产重组
2015-03-17,002034.SZ,美欣达,停牌一天,重大事项
2015-03-17,002036.SZ,汉麻产业,停牌一天,重大资产重组
2015-03-17,002037.SZ,久联发展,停牌一天,重大事项
2015-03-17,002044.SZ,江苏三友,停牌一天,筹划重大资产重组
2015-03-17,002057.SZ,中钢天源,停牌一天,拟披露重大事项
2015-03-17,002103.SZ,广博股份,停牌一天,拟披露重大事项
2015-03-17,002113.SZ,天润控股,停牌一天,拟披露重大事项
2015-03-17,002119.SZ,康强电子,停牌一天,重大资产重组
2015-03-17,002122.SZ,天马股份,停牌一天,重大事项
2015-03-17,002123.SZ,荣信股份,停牌一天,重大资产重组
2015-03-17,002127.SZ,*ST新民,停牌一天,重大事项
2015-03-17,002131.SZ,利欧股份,停牌一天,重大资产重组
2015-03-17,002159.SZ,三特索道,停牌一天,重大资产重组
2015-03-17,002169.SZ,智光电气,停牌一天,重大资产重组
2015-03-17,002171.SZ,精诚铜业,停牌一天,重大资产重组
2015-03-17,002173.SZ,千足珍珠,停牌一天,重大资产重组
2015-03-17,002174.SZ,游族网络,停牌一天,重大资产重组
2015-03-17,002176.SZ,江特电机,停牌一天,重大资产重组
2015-03-17,002180.SZ,艾派克,停牌一天,重大资产重组
2015-03-17,002188.SZ,新嘉联,停牌一天,重大资产重组
2015-03-17,002196.SZ,方正电机,停牌一天,拟披露重大事项
2015-03-17,002211.SZ,宏达新材,停牌一天,重大资产重组
2015-03-17,002227.SZ,奥特迅,停牌一天,拟披露重大事项
2015-03-17,002248.SZ,*ST东数,停牌一天,拟披露重大事项
2015-03-17,002255.SZ,海陆重工,停牌一天,重大事项
2015-03-17,002261.SZ,拓维信息,停牌一天,重大资产重组
2015-03-17,002264.SZ,新华都,停牌一天,重大事项
2015-03-17,002279.SZ,久其软件,停牌一天,重大资产重组
2015-03-17,002298.SZ,鑫龙电器,停牌一天,重大资产重组
2015-03-17,002314.SZ,雅致股份,停牌一天,拟披露重大事项
2015-03-17,002316.SZ,键桥通讯,停牌一天,重大事项
2015-03-17,002317.SZ,众生药业,停牌一天,重大资产重组
2015-03-17,002319.SZ,乐通股份,停牌一天,重大资产重组
2015-03-17,002331.SZ,皖通科技,停牌一天,重大资产重组
2015-03-17,002349.SZ,精华制药,停牌一天,重大资产重组
2015-03-17,002350.SZ,北京科锐,停牌一天,重大事项
2015-03-17,002354.SZ,科冕木业,停牌一天,重大资产重组
2015-03-17,002356.SZ,浩宁达,停牌一天,拟披露重大事项
2015-03-17,002359.SZ,齐星铁塔,停牌一天,重大资产重组
2015-03-17,002360.SZ,同德化工,停牌一天,重大资产重组
2015-03-17,002361.SZ,神剑股份,停牌一天,重大资产重组
2015-03-17,002374.SZ,丽鹏股份,今起停牌,拟披露重大事项
2015-03-17,002376.SZ,新北洋,停牌一天,重大事项
2015-03-17,002390.SZ,信邦制药,停牌一天,重大资产重组
2015-03-17,002408.SZ,齐翔腾达,停牌一天,重大资产重组
2015-03-17,002411.SZ,九九久,停牌一天,重大资产重组
2015-03-17,002417.SZ,三元达,停牌一天,拟披露重大事项
2015-03-17,002421.SZ,达实智能,停牌一天,重大资产重组
2015-03-17,002441.SZ,众业达,停牌一天,重大事项
2015-03-17,002442.SZ,龙星化工,停牌一天,重大资产重组
2015-03-17,002446.SZ,盛路通信,停牌一天,重大资产重组
2015-03-17,002458.SZ,益生股份,停牌一天,拟披露重大事项
2015-03-17,002464.SZ,金利科技,停牌一天,拟披露重大事项
2015-03-17,002476.SZ,宝莫股份,停牌一天,重大资产重组
2015-03-17,002491.SZ,通鼎互联,停牌一天,拟披露重大事项
2015-03-17,002496.SZ,辉丰股份,停牌一天,重大事项
2015-03-17,002507.SZ,涪陵榨菜,停牌一天,重大事项
2015-03-17,002509.SZ,天广消防,停牌一天,重大资产重组
2015-03-17,002512.SZ,达华智能,停牌一天,重大资产重组
2015-03-17,002513.SZ,蓝丰生化,停牌一天,拟披露重大事项
2015-03-17,002517.SZ,泰亚股份,停牌一天,重大资产重组
2015-03-17,002548.SZ,金新农,停牌一天,重大资产重组
2015-03-17,002553.SZ,南方轴承,停牌一天,拟披露重大事项
2015-03-17,002555.SZ,顺荣三七,停牌一天,拟披露重大事项
2015-03-17,002558.SZ,世纪游轮,停牌一天,重大资产重组
2015-03-17,002569.SZ,步森股份,停牌一天,拟披露重大事项
2015-03-17,002570.SZ,贝因美,停牌一天,要约收购期限届满
2015-03-17,002571.SZ,德力股份,停牌一天,拟披露重大事项
2015-03-17,002596.SZ,海南瑞泽,停牌一天,重大资产重组
2015-03-17,002598.SZ,山东章鼓,停牌一天,重大资产重组
2015-03-17,002602.SZ,世纪华通,停牌一天,拟披露重大事项
2015-03-17,002607.SZ,亚夏汽车,停牌一天,重大事项
2015-03-17,002617.SZ,露笑科技,停牌一天,重大资产重组
2015-03-17,002625.SZ,龙生股份,停牌一天,拟披露重大事项
2015-03-17,002637.SZ,赞宇科技,停牌一天,重大事项
2015-03-17,002645.SZ,华宏科技,停牌一天,重大资产重组
2015-03-17,002650.SZ,加加食品,停牌一天,重大事项
2015-03-17,002656.SZ,卡奴迪路,停牌一天,拟披露重大事项
2015-03-17,002657.SZ,中科金财,停牌一天,重大事项
2015-03-17,002659.SZ,中泰桥梁,停牌一天,重大资产重组
2015-03-17,002660.SZ,茂硕电源,停牌一天,重大资产重组
2015-03-17,002670.SZ,华声股份,停牌一天,拟披露重大事项
2015-03-17,002675.SZ,东诚药业,停牌一天,拟披露重大事项
2015-03-17,002691.SZ,石中装备,停牌一天,重大事项
2015-03-17,002697.SZ,红旗连锁,停牌一天,拟披露重大事项
2015-03-17,002721.SZ,金一文化,停牌一天,重大事项
2015-03-17,002722.SZ,金轮股份,停牌一天,重大资产重组
2015-03-17,002726.SZ,龙大肉食,停牌一天,重大事项
2015-03-17,002728.SZ,台城制药,停牌一天,重大资产重组
2015-03-17,200020.SZ,深华发B,停牌一天,重大事项
2015-03-17,200053.SZ,深基地B,停牌一天,重大事项
2015-03-17,200160.SZ,南江B,停牌一天,重大事项
2015-03-17,200625.SZ,长安B,停牌一天,重大事项
2015-03-17,300001.SZ,特锐德,停牌一天,重大资产重组
2015-03-17,300005.SZ,探路者,停牌一天,拟披露重大事项
2015-03-17,300009.SZ,安科生物,停牌一天,重大资产重组
2015-03-17,300018.SZ,中元华电,停牌一天,重大资产重组
2015-03-17,300022.SZ,吉峰农机,停牌一天,重大资产重组
2015-03-17,300025.SZ,华星创业,停牌一天,拟披露重大事项
2015-03-17,300026.SZ,红日药业,停牌一天,重大事项
2015-03-17,300030.SZ,阳普医疗,停牌一天,重大资产重组
2015-03-17,300059.SZ,东方财富,停牌一天,拟披露重大事项
2015-03-17,300063.SZ,天龙集团,停牌一天,重大资产重组
2015-03-17,300073.SZ,当升科技,停牌一天,重大资产重组
2015-03-17,300078.SZ,中瑞思创,停牌一天,重大资产重组
2015-03-17,300088.SZ,长信科技,今起停牌,重大事项
2015-03-17,300090.SZ,盛运股份,停牌一天,重大事项
2015-03-17,300095.SZ,华伍股份,停牌一天,重大资产重组
2015-03-17,300098.SZ,高新兴,停牌一天,重大资产重组
2015-03-17,300101.SZ,振芯科技,停牌一天,重大事项
2015-03-17,300110.SZ,华仁药业,停牌一天,重大资产重组
2015-03-17,300115.SZ,长盈精密,停牌一天,拟披露重大事项
2015-03-17,300116.SZ,坚瑞消防,停牌一天,重大事项
2015-03-17,300126.SZ,锐奇股份,停牌一天,重大事项
2015-03-17,300131.SZ,英唐智控,停牌一天,重大资产重组
2015-03-17,300141.SZ,和顺电气,停牌一天,重大资产重组
2015-03-17,300144.SZ,宋城演艺,停牌一天,重大资产重组
2015-03-17,300159.SZ,新研股份,停牌一天,重大资产重组
2015-03-17,300168.SZ,万达信息,停牌一天,重大事项
2015-03-17,300174.SZ,元力股份,停牌一天,重大事项
2015-03-17,300175.SZ,朗源股份,停牌一天,重大事项
2015-03-17,300181.SZ,佐力药业,停牌一天,重大事项
2015-03-17,300184.SZ,力源信息,停牌一天,重大资产重组
2015-03-17,300186.SZ,大华农,停牌一天,拟披露重大事项
2015-03-17,300192.SZ,科斯伍德,停牌一天,重大资产重组
2015-03-17,300194.SZ,福安药业,停牌一天,拟披露重大事项
2015-03-17,300201.SZ,海伦哲,停牌一天,重大资产重组
2015-03-17,300213.SZ,佳讯飞鸿,停牌一天,重大资产重组
2015-03-17,300218.SZ,安利股份,停牌一天,重大事项
2015-03-17,300222.SZ,科大智能,停牌一天,重大资产重组
2015-03-17,300233.SZ,金城医药,停牌一天,重大资产重组
2015-03-17,300234.SZ,开尔新材,停牌一天,重大事项
2015-03-17,300241.SZ,瑞丰光电,停牌一天,筹划发行股份购买资产
2015-03-17,300242.SZ,明家科技,停牌一天,重大资产重组
2015-03-17,300243.SZ,瑞丰高材,停牌一天,拟披露重大事项
2015-03-17,300269.SZ,联建光电,停牌一天,拟披露重大事项
2015-03-17,300271.SZ,华宇软件,停牌一天,重大事项
2015-03-17,300288.SZ,朗玛信息,停牌一天,重大事项
2015-03-17,300299.SZ,富春通信,停牌一天,拟披露重大事项
2015-03-17,300316.SZ,晶盛机电,停牌一天,拟披露重大事项
2015-03-17,300322.SZ,硕贝德,停牌一天,重大资产重组
2015-03-17,300329.SZ,海伦钢琴,停牌一天,重大事项
2015-03-17,300339.SZ,润和软件,停牌一天,重大资产重组
2015-03-17,300348.SZ,长亮科技,停牌一天,重大资产重组
2015-03-17,300351.SZ,永贵电器,停牌一天,拟披露重大事项
2015-03-17,300362.SZ,天保重装,停牌一天,实施非公开发行股票
2015-03-17,300366.SZ,创意信息,停牌一天,重大资产重组
2015-03-17,300367.SZ,东方网力,停牌一天,重大事项
2015-03-17,300379.SZ,东方通,停牌一天,重大事项
2015-03-17,300387.SZ,富邦股份,停牌一天,重大事项
2015-03-17,300390.SZ,天华超净,停牌一天,重大资产重组
2015-03-17,300399.SZ,京天利,停牌一天,拟披露重大事项
2015-03-17,600035.SH,楚天高速,停牌一天,重大资产重组
2015-03-17,600057.SH,象屿股份,停牌一天,重要事项未公告
2015-03-17,600062.SH,华润双鹤,停牌一天,重要事项未公告
2015-03-17,600073.SH,上海梅林,停牌一天,重要事项未公告
2015-03-17,600076.SH,青鸟华光,停牌一天,拟筹划重大资产重组
2015-03-17,600083.SH,博信股份,停牌一天,重大资产重组
2015-03-17,600090.SH,啤酒花,停牌一天,重大资产重组
2015-03-17,600114.SH,东睦股份,停牌一天,重要事项未公告
2015-03-17,600126.SH,杭钢股份,停牌一天,重大资产重组
2015-03-17,600129.SH,太极集团,停牌一天,重大资产重组
2015-03-17,600155.SH,宝硕股份,停牌一天,重要事项未公告
2015-03-17,600157.SH,永泰能源,停牌一天,重大资产重组
2015-03-17,600179.SH,黑化股份,停牌一天,重大资产重组
2015-03-17,600189.SH,吉林森工,停牌一天,重大资产重组
2015-03-17,600191.SH,华资实业,停牌一天,重要事项未公告
2015-03-17,600209.SH,罗顿发展,停牌一天,重要事项未公告
2015-03-17,600217.SH,秦岭水泥,停牌一天,实施退市风险警示
2015-03-17,600232.SH,金鹰股份,停牌一天,重大资产重组
2015-03-17,600238.SH,海南椰岛,停牌一天,重要事项未公告
2015-03-17,600246.SH,万通地产,停牌一天,重大资产重组
2015-03-17,600250.SH,南纺股份,停牌一天,重大资产重组
2015-03-17,600258.SH,首旅酒店,今起停牌,重要事项未公告
2015-03-17,600293.SH,三峡新材,停牌一天,重要事项未公告
2015-03-17,600332.SH,白云山,停牌一天,未刊登股东大会决议公告
2015-03-17,600351.SH,亚宝药业,停牌一天,重要事项未公告
2015-03-17,600423.SH,柳化股份,停牌一天,重要事项未公告
2015-03-17,600438.SH,通威股份,停牌一天,重大资产重组
2015-03-17,600461.SH,洪城水业,停牌一天,重大资产重组
2015-03-17,600475.SH,华光股份,停牌一天,重大资产重组
2015-03-17,600477.SH,杭萧钢构,停牌一天,重要事项未公告
2015-03-17,600481.SH,双良节能,停牌一天,重大资产重组
2015-03-17,600483.SH,福能股份,今起停牌,重要事项未公告
2015-03-17,600503.SH,华丽家族,停牌一天,重要事项未公告
2015-03-17,600522.SH,中天科技,停牌一天,重要事项未公告
2015-03-17,600550.SH,*ST天威,停牌一天,退市风险警示
2015-03-17,600552.SH,方兴科技,停牌一天,重大资产重组
2015-03-17,600575.SH,皖江物流,停牌一天,重大资产重组
2015-03-17,600576.SH,万好万家,停牌一天,重要事项未公告
2015-03-17,600597.SH,光明乳业,停牌一天,重要事项未公告
2015-03-17,600599.SH,熊猫烟花,停牌一天,重要事项未公告
2015-03-17,600623.SH,双钱股份,停牌一天,重大资产重组
2015-03-17,600649.SH,城投控股,停牌一天,重大资产重组
2015-03-17,600654.SH,飞乐股份,停牌一天,重大资产重组
2015-03-17,600656.SH,博元投资,停牌一天,重大资产重组
2015-03-17,600666.SH,西南药业,停牌一天,重要事项未公告
2015-03-17,600667.SH,太极实业,停牌一天,重大资产重组
2015-03-17,600677.SH,航天通信,停牌一天,重大资产重组
2015-03-17,600679.SH,金山开发,停牌一天,重大资产重组
2015-03-17,600681.SH,万鸿集团,停牌一天,重要事项未公告
2015-03-17,600701.SH,工大高新,停牌一天,重大资产重组
2015-03-17,600714.SH,金瑞矿业,停牌一天,重大资产重组
2015-03-17,600725.SH,云维股份,停牌一天,重大资产重组
2015-03-17,600741.SH,华域汽车,停牌一天,重要事项未公告
2015-03-17,600745.SH,中茵股份,停牌一天,重大资产重组
2015-03-17,600747.SH,大连控股,停牌一天,重大资产重组
2015-03-17,600749.SH,西藏旅游,停牌一天,非公开发行股票
2015-03-17,600756.SH,浪潮软件,停牌一天,重大资产重组
2015-03-17,600759.SH,洲际油气,停牌一天,重大资产重组
2015-03-17,600777.SH,新潮实业,停牌一天,重大资产重组
2015-03-17,600797.SH,浙大网新,停牌一天,重大资产重组
2015-03-17,600804.SH,鹏博士,停牌一天,重要事项未公告
2015-03-17,600806.SH,昆明机床,停牌一天,重要事项未公告
2015-03-17,600817.SH,ST宏盛,停牌一天,重要事项未公告
2015-03-17,600827.SH,百联股份,停牌一天,重要事项未公告
2015-03-17,600858.SH,银座股份,停牌一天,重大资产重组
2015-03-17,600870.SH,厦华电子,停牌一天,重大资产重组
2015-03-17,600962.SH,国投中鲁,停牌一天,重大资产重组
2015-03-17,601608.SH,中信重工,停牌一天,重大资产重组
2015-03-17,601888.SH,中国国旅,今起停牌,重要事项未公告
2015-03-17,603003.SH,龙宇燃油,停牌一天,重大资产重组
2015-03-17,603010.SH,万盛股份,停牌一天,重要事项未公告
2015-03-17,900909.SH,双钱B股,停牌一天,重大资产重组
2015-03-17,900916.SH,金山B股,停牌一天,重大资产重组
2015-03-17,900923.SH,百联B股,停牌一天,重要事项未公告
2015-03-17,900935.SH,阳晨B股,停牌一天,重大资产重组
2015-03-17,900950.SH,新城B股,停牌一天,重大资产重组
